variable	value
CDH	0.0551824328
AvgTemp24	0.0368043286
hour01	-1.9844084833
hour02	-2.0861139973
hour03	-2.1523597427
hour04	-2.1907100404
hour05	-2.1889294456
hour06	-2.1089803102
hour07	-1.9673260631
hour08	-1.9801260631
hour09	-1.9948755137
hour10	-1.969705184
hour11	-1.9286818175
hour12	-1.8832901269
hour13	-1.8139036849
hour14	-1.7210800052
hour15	-1.6659183718
hour16	-1.4793331645
hour17	-2.3576892723
hour18	-2.0971601759
hour19	-1.7947070417
hour20	-0.5440703997
hour21	-1.0835933334
hour22	-1.2518314489
hour23	-1.5737763029
hour24	-1.7241997596
treatthree	-0.0518756446
treattwo	0.0473866646
hour01:treatthree	0
hour02:treatthree	0.0090835298
hour03:treatthree	0.0673655836
hour04:treatthree	0.0860575904
hour05:treatthree	0.092164376
hour06:treatthree	0.0829927416
hour07:treatthree	0.090569498
hour08:treatthree	0.0690858915
hour09:treatthree	0.0316959978
hour10:treatthree	0.0455199304
hour11:treatthree	0.6919744092
hour12:treatthree	0.5471455884
hour13:treatthree	0.5260867361
hour14:treatthree	0.4621430003
hour15:treatthree	0.5448169769
hour16:treatthree	0.3384262506
hour17:treatthree	-0.1758687863
hour18:treatthree	-0.1069216357
hour19:treatthree	-0.136137925
hour20:treatthree	-0.0092903342
hour21:treatthree	0.0938723927
hour22:treatthree	0.0769579668
hour23:treatthree	0.0388256456
hour24:treatthree	0.0285628031
hour01:treattwo	0
hour02:treattwo	-0.0488620612
hour03:treattwo	-0.0119588429
hour04:treattwo	0.0016804709
hour05:treattwo	0.0119298304
hour06:treattwo	0.0284386425
hour07:treattwo	0.0151197607
hour08:treattwo	-0.0234879316
hour09:treattwo	-0.0710659536
hour10:treattwo	-0.1042527668
hour11:treattwo	-0.0783950689
hour12:treattwo	-0.0419290834
hour13:treattwo	0.0747432181
hour14:treattwo	0.0987790894
hour15:treattwo	1.6977131205
hour16:treattwo	1.0645272859
hour17:treattwo	-0.2070680016
hour18:treattwo	-0.0495188609
hour19:treattwo	-0.0453358525
hour20:treattwo	-0.2335240567
hour21:treattwo	-0.0751999863
hour22:treattwo	-0.0731733267
hour23:treattwo	0.003919219
hour24:treattwo	-0.0530970271
